Protein IDs,Majority protein IDs,Fasta headers,LFQ intensity IDI-1,LFQ intensity IDI-2,LFQ intensity IDI-3,LFQ intensity IDLL-1,LFQ intensity IDLL-2,LFQ intensity IDLL-3,Mol. weight [kDa],Sequence length
E9GMM9;A0A2U8BR24,E9GMM9;A0A2U8BR24,tr|E9GMM9|E9GMM9_DAPPU Chitin-binding type-2 domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304901 PE=3 SV=1;tr|A0A2U8BR24|A0A2U8BR24_DAPPU Chitinase OS=Daphnia pulex OX=6669 PE=2 SV=1,0,0,0,0,0,7688500,50.602,456
A0A3G2Z9X2,A0A3G2Z9X2,tr|A0A3G2Z9X2|A0A3G2Z9X2_DAPPU Cytochrome c oxidase subunit 1 (Fragment) OS=Daphnia pulex OX=6669 GN=COI PE=3 SV=1,0,0,1743400,0,0,0,22.217,211
E9H1Y6;A0A4Y7MWF0;A0A4Y7MPU6;A0A4Y7MSE9,E9H1Y6;A0A4Y7MWF0;A0A4Y7MPU6;A0A4Y7MSE9,tr|E9H1Y6|E9H1Y6_DAPPU EOG090X093U OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_57303 PE=4 SV=1;tr|A0A4Y7MWF0|A0A4Y7MWF0_DAPPU EOG090X093U OS=Daphnia pulex OX=6669 GN=EOG090X093U PE=2 SV=1;tr|A0A4Y7MPU6|A0A4Y7MPU6_DAPPU EOG090X093U OS=Daphnia pulex OX=6669 GN=EO,32370000,33934000,32679000,0,0,0,41.686,368
E9HUV5;A0A4Y7MUG3;A0A4Y7MPX4;E9GRQ9,E9HUV5;A0A4Y7MUG3;A0A4Y7MPX4,tr|E9HUV5|E9HUV5_DAPPU EOG090X0141 OS=Daphnia pulex OX=6669 GN=EOG090X0141 PE=2 SV=1;tr|A0A4Y7MUG3|A0A4Y7MUG3_DAPPU EOG090X0141 OS=Daphnia pulex OX=6669 GN=EOG090X0141 PE=2 SV=1;tr|A0A4Y7MPX4|A0A4Y7MPX4_DAPPU EOG090X0141 OS=Daphnia pulex OX=6669 GN=EOG090X,36738000,28020000,31922000,39152000,0,0,105.66,952
E9HFX0;A0A4Y7MPX6;A0A4Y7MV27,E9HFX0;A0A4Y7MPX6;A0A4Y7MV27,tr|E9HFX0|E9HFX0_DAPPU Coatomer subunit epsilon OS=Daphnia pulex OX=6669 GN=EOG090X0A8E PE=2 SV=1;tr|A0A4Y7MPX6|A0A4Y7MPX6_DAPPU Coatomer subunit epsilon OS=Daphnia pulex OX=6669 GN=EOG090X0A8E PE=2 SV=1;tr|A0A4Y7MV27|A0A4Y7MV27_DAPPU Coatomer subunit epsi,0,0,2243400,0,0,0,34.027,300
E9FVA3;A0A4Y7MTZ5;A0A4Y7MPY6,E9FVA3;A0A4Y7MTZ5;A0A4Y7MPY6,tr|E9FVA3|E9FVA3_DAPPU Coatomer subunit beta OS=Daphnia pulex OX=6669 GN=EOG090X01FO PE=2 SV=1;tr|A0A4Y7MTZ5|A0A4Y7MTZ5_DAPPU Coatomer subunit beta OS=Daphnia pulex OX=6669 GN=EOG090X01FO PE=2 SV=1;tr|A0A4Y7MPY6|A0A4Y7MPY6_DAPPU Coatomer subunit beta OS,21393000,20873000,18256000,0,0,0,106.97,950
A0A4Y7MQ50;E9H405;A0A4Y7MRT8,A0A4Y7MQ50;E9H405;A0A4Y7MRT8,tr|A0A4Y7MQ50|A0A4Y7MQ50_DAPPU EOG090X081J OS=Daphnia pulex OX=6669 GN=EOG090X081J PE=2 SV=1;tr|E9H405|E9H405_DAPPU EOG090X081J OS=Daphnia pulex OX=6669 GN=EOG090X081J PE=2 SV=1;tr|A0A4Y7MRT8|A0A4Y7MRT8_DAPPU EOG090X081J OS=Daphnia pulex OX=6669 GN=EOG090X,69021000,69447000,66503000,74937000,0,0,31.189,281
A0A4Y7MT72;E9FRY9;A0A4Y7MQ90,A0A4Y7MT72;E9FRY9;A0A4Y7MQ90,tr|A0A4Y7MT72|A0A4Y7MT72_DAPPU EOG090X04TT OS=Daphnia pulex OX=6669 GN=EOG090X04TT PE=2 SV=1;tr|E9FRY9|E9FRY9_DAPPU EOG090X04TT OS=Daphnia pulex OX=6669 GN=EOG090X04TT PE=2 SV=1;tr|A0A4Y7MQ90|A0A4Y7MQ90_DAPPU EOG090X04TT OS=Daphnia pulex OX=6669 GN=EOG090X,0,0,4393600,0,0,0,46.791,413
E9GHY0;A0A4Y7MWG7;A0A4Y7MQA7;A0A4Y7MUJ7,E9GHY0;A0A4Y7MWG7;A0A4Y7MQA7;A0A4Y7MUJ7,tr|E9GHY0|E9GHY0_DAPPU MFS domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_303762 PE=4 SV=1;tr|A0A4Y7MWG7|A0A4Y7MWG7_DAPPU EOG090X09U7 OS=Daphnia pulex OX=6669 GN=EOG090X09U7 PE=2 SV=1;tr|A0A4Y7MQA7|A0A4Y7MQA7_DAPPU EOG090X09U7 OS=Daphnia ,0,5474900,10548000,0,0,0,46.733,434
E9H230;A0A4Y7MX16;A0A4Y7MV77;A0A4Y7MQE9,E9H230;A0A4Y7MX16;A0A4Y7MV77;A0A4Y7MQE9,"tr|E9H230|E9H230_DAPPU NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_57515 PE=3 SV=1;tr|A0A4Y7MX16|A0A4Y7MX16_DAPPU NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondri",39835000,28672000,29494000,0,0,0,17.768,148
