Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides IDI-1,Peptides IDI-2,Peptides IDI-3,Peptides IDLL-1,Peptides IDLL-2,Peptides IDLL-3,Razor + unique peptides IDI-1,Razor + unique peptides IDI-2,Razor + unique peptides IDI-3,Razor + unique peptides IDLL-1,Razor + unique peptides IDLL-2,Razor + unique peptides IDLL-3,Unique peptides IDI-1,Unique peptides IDI-2,Unique peptides IDI-3,Unique peptides IDLL-1,Unique peptides IDLL-2,Unique peptides IDLL-3,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Identification type IDI-1,Identification type IDI-2,Identification type IDI-3,Identification type IDLL-1,Identification type IDLL-2,Identification type IDLL-3,Sequence coverage IDI-1 [%],Sequence coverage IDI-2 [%],Sequence coverage IDI-3 [%],Sequence coverage IDLL-1 [%],Sequence coverage IDLL-2 [%],Sequence coverage IDLL-3 [%],Intensity,Intensity IDI-1,Intensity IDI-2,Intensity IDI-3,Intensity IDLL-1,Intensity IDLL-2,Intensity IDLL-3,iBAQ peptides,iBAQ,iBAQ IDI-1,iBAQ IDI-2,iBAQ IDI-3,iBAQ IDLL-1,iBAQ IDLL-2,iBAQ IDLL-3,LFQ intensity IDI-1,LFQ intensity IDI-2,LFQ intensity IDI-3,LFQ intensity IDLL-1,LFQ intensity IDLL-2,LFQ intensity IDLL-3,MS/MS count IDI-1,MS/MS count IDI-2,MS/MS count IDI-3,MS/MS count IDLL-1,MS/MS count IDLL-2,MS/MS count IDLL-3,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
E9GMM9;A0A2U8BR24,E9GMM9;A0A2U8BR24,1;1,1;1,1;1,tr|E9GMM9|E9GMM9_DAPPU Chitin-binding type-2 domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_304901 PE=3 SV=1;tr|A0A2U8BR24|A0A2U8BR24_DAPPU Chitinase OS=Daphnia pulex OX=6669 PE=2 SV=1,2,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,2.2,2.2,2.2,50.602,456,456;456,0.0,2.583,By MS/MS,By MS/MS,By MS/MS,,,By matching,2.2,2.2,2.2,0.0,0.0,2.2,41232000,13080000,14113000,13337000,0,0,701560,16,2577000,817530.0,882080.0,833580,0.0,0.0,43847.0,0,0,0,0,0,7688500,1,1,1,0,0,0,3,,,,0,3878,True,4022,16976;16977;16978;16979;16980,12923;12924;12925,12923,,,-1;-1
A0A3G2Z9X2,A0A3G2Z9X2,1,1,1,tr|A0A3G2Z9X2|A0A3G2Z9X2_DAPPU Cytochrome c oxidase subunit 1 (Fragment) OS=Daphnia pulex OX=6669 GN=COI PE=3 SV=1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,6.6,6.6,6.6,22.217,211,211,0.0093531,1.2448,By MS/MS,By MS/MS,By MS/MS,,,,6.6,6.6,6.6,0.0,0.0,0.0,4498900,1352900,1452300,1693700,0,0,0,3,1499600,450950.0,484090.0,564570,0.0,0.0,0.0,0,0,1743400,0,0,0,0,0,1,0,0,0,1,,,,1,4301,True,4493,18871;18872;18873,14340,14340,,,-1
E9H1Y6;A0A4Y7MWF0;A0A4Y7MPU6;A0A4Y7MSE9,E9H1Y6;A0A4Y7MWF0;A0A4Y7MPU6;A0A4Y7MSE9,4;4;4;4,4;4;4;4,4;4;4;4,tr|E9H1Y6|E9H1Y6_DAPPU EOG090X093U OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_57303 PE=4 SV=1;tr|A0A4Y7MWF0|A0A4Y7MWF0_DAPPU EOG090X093U OS=Daphnia pulex OX=6669 GN=EOG090X093U PE=2 SV=1;tr|A0A4Y7MPU6|A0A4Y7MPU6_DAPPU EOG090X093U OS=Daphnia pulex OX=6669 GN=EO,4,4,4,4,4,4,4,0,0,0,4,4,4,0,0,0,4,4,4,0,0,0,13.6,13.6,13.6,41.686,368,368;385;385;472,0.0,54.534,By MS/MS,By MS/MS,By MS/MS,,,,13.6,13.6,13.6,0.0,0.0,0.0,98121000,31450000,21192000,45479000,0,0,0,22,4460000,1429500.0,963260.0,2067200,0.0,0.0,0.0,32370000,33934000,32679000,0,0,0,4,4,4,0,0,0,12,,,,2,331;527;3370;5953,True;True;True;True,343;545;3495;6207,1427;1428;1429;2334;2335;2336;14611;14612;14613;26072;26073;26074,1060;1061;1062;1752;1753;1754;10912;10913;10914;19729;19730;19731,1061;1753;10913;19729,,,-1;-1;-1;-1
E9HUV5;A0A4Y7MUG3;A0A4Y7MPX4;E9GRQ9,E9HUV5;A0A4Y7MUG3;A0A4Y7MPX4,6;6;6;1,6;6;6;1,6;6;6;1,tr|E9HUV5|E9HUV5_DAPPU EOG090X0141 OS=Daphnia pulex OX=6669 GN=EOG090X0141 PE=2 SV=1;tr|A0A4Y7MUG3|A0A4Y7MUG3_DAPPU EOG090X0141 OS=Daphnia pulex OX=6669 GN=EOG090X0141 PE=2 SV=1;tr|A0A4Y7MPX4|A0A4Y7MPX4_DAPPU EOG090X0141 OS=Daphnia pulex OX=6669 GN=EOG090X,4,6,6,6,6,6,5,2,1,1,6,6,5,2,1,1,6,6,5,2,1,1,8.3,8.3,8.3,105.66,952,952;952;952;168,0.0,18.67,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,By matching,8.3,8.3,7.1,2.3,1.2,1.2,112240000,44751000,37601000,23726000,2770500,1630400,1764000,49,2290700,913290.0,767380.0,484200,56541.0,33273.0,36001.0,36738000,28020000,31922000,39152000,0,0,5,7,4,0,0,0,16,,,,3,474;1054;1954;3227;5641;6249,True;True;True;True;True;True,491;1093;2026;3349;5884;6512,2061;2062;2063;4579;4580;4581;4582;4583;4584;8346;8347;8348;8349;8350;13989;13990;13991;24619;24620;24621;24622;27320;27321;27322,1491;1492;3471;3472;3473;3474;3475;3476;6249;6250;10485;18622;18623;18624;20718;20719;20720,1492;3476;6249;10485;18624;20718,,,-1;-1;-1;-1
E9HFX0;A0A4Y7MPX6;A0A4Y7MV27,E9HFX0;A0A4Y7MPX6;A0A4Y7MV27,1;1;1,1;1;1,1;1;1,tr|E9HFX0|E9HFX0_DAPPU Coatomer subunit epsilon OS=Daphnia pulex OX=6669 GN=EOG090X0A8E PE=2 SV=1;tr|A0A4Y7MPX6|A0A4Y7MPX6_DAPPU Coatomer subunit epsilon OS=Daphnia pulex OX=6669 GN=EOG090X0A8E PE=2 SV=1;tr|A0A4Y7MV27|A0A4Y7MV27_DAPPU Coatomer subunit epsi,3,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,5.7,5.7,5.7,34.027,300,300;300;303,0.0,2.0822,By matching,By matching,By MS/MS,,,,5.7,5.7,5.7,0.0,0.0,0.0,6419800,1787500,2453000,2179400,0,0,0,15,427990,119160.0,163530.0,145290,0.0,0.0,0.0,0,0,2243400,0,0,0,0,0,1,0,0,0,1,,,,4,5550,True,5787,24248;24249;24250,18341,18341,,,-1;-1;-1
E9FVA3;A0A4Y7MTZ5;A0A4Y7MPY6,E9FVA3;A0A4Y7MTZ5;A0A4Y7MPY6,4;4;4,4;4;4,4;4;4,tr|E9FVA3|E9FVA3_DAPPU Coatomer subunit beta OS=Daphnia pulex OX=6669 GN=EOG090X01FO PE=2 SV=1;tr|A0A4Y7MTZ5|A0A4Y7MTZ5_DAPPU Coatomer subunit beta OS=Daphnia pulex OX=6669 GN=EOG090X01FO PE=2 SV=1;tr|A0A4Y7MPY6|A0A4Y7MPY6_DAPPU Coatomer subunit beta OS,3,4,4,4,4,4,4,0,0,0,4,4,4,0,0,0,4,4,4,0,0,0,5.2,5.2,5.2,106.97,950,950;953;955,0.0,12.13,By MS/MS,By MS/MS,By MS/MS,,,,5.2,5.2,5.2,0.0,0.0,0.0,60469000,20054000,21941000,18473000,0,0,0,50,1209400,401090.0,438830.0,369460,0.0,0.0,0.0,21393000,20873000,18256000,0,0,0,2,3,4,0,0,0,9,,,,5,2479;2842;3401;6193,True;True;True;True,2564;2947;3527;6454,10578;10579;10580;12188;12189;12190;14736;14737;14738;27068;27069;27070,7930;9190;9191;11005;11006;11007;20499;20500;20501,7930;9190;11005;20500,,,-1;-1;-1
A0A4Y7MQ50;E9H405;A0A4Y7MRT8,A0A4Y7MQ50;E9H405;A0A4Y7MRT8,7;7;7,7;7;7,7;7;7,tr|A0A4Y7MQ50|A0A4Y7MQ50_DAPPU EOG090X081J OS=Daphnia pulex OX=6669 GN=EOG090X081J PE=2 SV=1;tr|E9H405|E9H405_DAPPU EOG090X081J OS=Daphnia pulex OX=6669 GN=EOG090X081J PE=2 SV=1;tr|A0A4Y7MRT8|A0A4Y7MRT8_DAPPU EOG090X081J OS=Daphnia pulex OX=6669 GN=EOG090X,3,7,7,7,7,5,5,2,0,1,7,5,5,2,0,1,7,5,5,2,0,1,26.7,26.7,26.7,31.189,281,281;282;282,0.0,15.692,By MS/MS,By MS/MS,By MS/MS,By MS/MS,,By MS/MS,26.7,19.6,18.5,6.0,0.0,3.2,254680000,88705000,89683000,72211000,2704900,0,1376300,15,16979000,5913700.0,5978900.0,4814000,180320.0,0.0,91752.0,69021000,69447000,66503000,74937000,0,0,7,7,3,0,0,0,17,,,,6,584;1650;2159;2806;5387;6081;6112,True;True;True;True;True;True;True,602;1709;2238;2909;5616;6339;6370,2550;2551;2552;7062;9213;9214;12010;12011;12012;12013;12014;12015;23514;23515;23516;23517;23518;26607;26608;26609;26610;26711;26712;26713,1912;1913;1914;5279;6894;6895;9019;9020;9021;9022;17751;17752;17753;20156;20157;20231;20232,1913;5279;6894;9019;17752;20156;20231,,,-1;-1;-1
A0A4Y7MT72;E9FRY9;A0A4Y7MQ90,A0A4Y7MT72;E9FRY9;A0A4Y7MQ90,1;1;1,1;1;1,1;1;1,tr|A0A4Y7MT72|A0A4Y7MT72_DAPPU EOG090X04TT OS=Daphnia pulex OX=6669 GN=EOG090X04TT PE=2 SV=1;tr|E9FRY9|E9FRY9_DAPPU EOG090X04TT OS=Daphnia pulex OX=6669 GN=EOG090X04TT PE=2 SV=1;tr|A0A4Y7MQ90|A0A4Y7MQ90_DAPPU EOG090X04TT OS=Daphnia pulex OX=6669 GN=EOG090X,3,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,3.4,3.4,3.4,46.791,413,413;419;419,0.0,10.085,By MS/MS,By MS/MS,By MS/MS,,,,3.4,3.4,3.4,0.0,0.0,0.0,11331000,4211200,2851600,4268300,0,0,0,16,708200,263200.0,178230.0,266770,0.0,0.0,0.0,0,0,4393600,0,0,0,1,1,1,0,0,0,3,,,,7,4197,True,4384,18414;18415;18416,13992;13993;13994,13994,,,-1;-1;-1
E9GHY0;A0A4Y7MWG7;A0A4Y7MQA7;A0A4Y7MUJ7,E9GHY0;A0A4Y7MWG7;A0A4Y7MQA7;A0A4Y7MUJ7,2;2;2;1,2;2;2;1,2;2;2;1,tr|E9GHY0|E9GHY0_DAPPU MFS domain-containing protein OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_303762 PE=4 SV=1;tr|A0A4Y7MWG7|A0A4Y7MWG7_DAPPU EOG090X09U7 OS=Daphnia pulex OX=6669 GN=EOG090X09U7 PE=2 SV=1;tr|A0A4Y7MQA7|A0A4Y7MQA7_DAPPU EOG090X09U7 OS=Daphnia ,4,2,2,2,1,2,2,0,0,1,1,2,2,0,0,1,1,2,2,0,0,1,4.4,4.4,4.4,46.733,434,434;441;441;441,0.0,4.5797,By MS/MS,By MS/MS,By MS/MS,,,By matching,1.8,4.4,4.4,0.0,0.0,1.8,22597000,6108900,6655200,9244400,0,0,588670,13,1738200,469920.0,511940.0,711110,0.0,0.0,45283.0,0,5474900,10548000,0,0,0,1,1,2,0,0,0,4,,,,8,1974;5486,True;True,2046;5718,8436;8437;8438;8439;23969;23970,6310;6311;6312;18133,6310;18133,,,-1;-1;-1;-1
E9H230;A0A4Y7MX16;A0A4Y7MV77;A0A4Y7MQE9,E9H230;A0A4Y7MX16;A0A4Y7MV77;A0A4Y7MQE9,3;3;3;3,3;3;3;3,3;3;3;3,"tr|E9H230|E9H230_DAPPU NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial OS=Daphnia pulex OX=6669 GN=DAPPUDRAFT_57515 PE=3 SV=1;tr|A0A4Y7MX16|A0A4Y7MX16_DAPPU NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondri",4,3,3,3,3,3,2,0,0,0,3,3,2,0,0,0,3,3,2,0,0,0,37.8,37.8,37.8,17.768,148,148;190;190;190,0.0,24.24,By MS/MS,By MS/MS,By MS/MS,,,,37.8,37.8,24.3,0.0,0.0,0.0,98199000,44460000,34376000,19363000,0,0,0,6,16366000,7409900.0,5729300.0,3227200,0.0,0.0,0.0,39835000,28672000,29494000,0,0,0,4,2,1,0,0,0,7,,,,9,3206;4503;5263,True;True;True,3327;4704;5487,13903;13904;13905;13906;13907;19687;19688;19689;22995;22996,10427;10428;10429;14926;14927;14928;17359,10428;14926;17359,,,-1;-1;-1;-1
